"","Type","Species.x","Life_Stage.x","Hydraulic.x","Node.x","ProbabilityThreshold","Position","Limits","Hydraulic.y","Unit","Species.y","Life_Stage.y","Node.y","Q_Calculation"
"14","Hydraulic_limit","Cladophora","Adult","Depth","11101250","Medium","MC",186.73,"depth","cm","Cladophora","Adult","11101250","Q >= min_limit & Q <= newx2a"
"15","Hydraulic_limit","Cladophora","Adult","Depth","11101250","Medium","ROB",186.73,"depth","cm","Cladophora","Adult","11101250","Q >= min_limit & Q <= newx2a"
"16","Hydraulic_limit","Cladophora","Adult","Depth","11101250","High","LOB",80.6,"depth","cm","Cladophora","Adult","11101250","Q >= min_limit & Q <= newx3a"
"17","Hydraulic_limit","Cladophora","Adult","Depth","11101250","High","MC",80.6,"depth","cm","Cladophora","Adult","11101250","Q >= min_limit & Q <= newx3a"
"18","Hydraulic_limit","Cladophora","Adult","Depth","11101250","High","ROB",80.6,"depth","cm","Cladophora","Adult","11101250","Q >= min_limit & Q <= newx3a"
"19","Q_limit","Cladophora","Adult","Velocity","11101250","Low","LOB",7260.93,"vel","m","Cladophora","Adult","11101250","Q >= newx1a"
"20","Q_limit","Cladophora","Adult","Velocity","11101250","Low","MC",1232.47,"vel","m","Cladophora","Adult","11101250","Q >= newx1a"
"21","Q_limit","Cladophora","Adult","Velocity","11101250","Low","ROB",6224.61,"vel","m","Cladophora","Adult","11101250","Q >= newx1a"
"22","Q_limit","Cladophora","Adult","Velocity","11101250","Medium","MC",2287.81,"vel","m","Cladophora","Adult","11101250","Q >= newx2a"
"23","Q_limit","Cladophora","Adult","Velocity","11101250","High","MC",3603.18,"vel","m","Cladophora","Adult","11101250","Q >= newx3a"
"24","Hydraulic_limit","Cladophora","Adult","Velocity","11101250","Low","LOB",0.39,"vel","m","Cladophora","Adult","11101250","Q >= newx1a"
"25","Hydraulic_limit","Cladophora","Adult","Velocity","11101250","Low","MC",0.39,"vel","m","Cladophora","Adult","11101250","Q >= newx1a"
"26","Hydraulic_limit","Cladophora","Adult","Velocity","11101250","Low","ROB",0.39,"vel","m","Cladophora","Adult","11101250","Q >= newx1a"
"27","Hydraulic_limit","Cladophora","Adult","Velocity","11101250","Medium","MC",0.55,"vel","m","Cladophora","Adult","11101250","Q >= newx2a"
"28","Hydraulic_limit","Cladophora","Adult","Velocity","11101250","High","MC",0.7,"vel","m","Cladophora","Adult","11101250","Q >= newx3a"
"29","Q_limit","Cladophora","Adult","Depth","F300","Low","LOB",24316.09,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx1a"
"30","Q_limit","Cladophora","Adult","Depth","F300","Low","MC",14533.44,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx1a"
"31","Q_limit","Cladophora","Adult","Depth","F300","Low","ROB",24316.09,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx1a"
"32","Q_limit","Cladophora","Adult","Depth","F300","Medium","LOB",11395.03,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx2a"
"33","Q_limit","Cladophora","Adult","Depth","F300","Medium","MC",4003.22,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx2a"
"34","Q_limit","Cladophora","Adult","Depth","F300","Medium","ROB",11395.03,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx2a"
"35","Q_limit","Cladophora","Adult","Depth","F300","High","LOB",3402.62,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx3a"
"36","Q_limit","Cladophora","Adult","Depth","F300","High","MC",99.94,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx3a"
"37","Q_limit","Cladophora","Adult","Depth","F300","High","ROB",3402.62,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx3a"
"38","Hydraulic_limit","Cladophora","Adult","Depth","F300","Low","LOB",318.17,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx1a"
"39","Hydraulic_limit","Cladophora","Adult","Depth","F300","Low","MC",318.18,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx1a"
"40","Hydraulic_limit","Cladophora","Adult","Depth","F300","Low","ROB",318.17,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx1a"
"41","Hydraulic_limit","Cladophora","Adult","Depth","F300","Medium","LOB",186.73,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx2a"
"42","Hydraulic_limit","Cladophora","Adult","Depth","F300","Medium","MC",186.73,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx2a"
"43","Hydraulic_limit","Cladophora","Adult","Depth","F300","Medium","ROB",186.73,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx2a"
"44","Hydraulic_limit","Cladophora","Adult","Depth","F300","High","LOB",80.6,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx3a"
"45","Hydraulic_limit","Cladophora","Adult","Depth","F300","High","MC",80.82,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx3a"
"46","Hydraulic_limit","Cladophora","Adult","Depth","F300","High","ROB",80.6,"depth","cm","Cladophora","Adult","F300","Q >= min_limit & Q <= newx3a"
"47","Q_limit","Cladophora","Adult","Velocity","F300","Low","LOB",220.03,"vel","m","Cladophora","Adult","F300","Q >= newx1a"
"48","Q_limit","Cladophora","Adult","Velocity","F300","Low","MC",1.81,"vel","m","Cladophora","Adult","F300","Q >= newx1a"
"49","Q_limit","Cladophora","Adult","Velocity","F300","Low","ROB",220.03,"vel","m","Cladophora","Adult","F300","Q >= newx1a"
"50","Q_limit","Cladophora","Adult","Velocity","F300","Medium","LOB",300.22,"vel","m","Cladophora","Adult","F300","Q >= newx2a"
"51","Q_limit","Cladophora","Adult","Velocity","F300","Medium","MC",4.86,"vel","m","Cladophora","Adult","F300","Q >= newx2a"
"52","Q_limit","Cladophora","Adult","Velocity","F300","Medium","ROB",300.22,"vel","m","Cladophora","Adult","F300","Q >= newx2a"
"53","Q_limit","Cladophora","Adult","Velocity","F300","High","LOB",395.37,"vel","m","Cladophora","Adult","F300","Q >= newx3a"
"54","Q_limit","Cladophora","Adult","Velocity","F300","High","MC",12.69,"vel","m","Cladophora","Adult","F300","Q >= newx3a"
"55","Q_limit","Cladophora","Adult","Velocity","F300","High","ROB",395.37,"vel","m","Cladophora","Adult","F300","Q >= newx3a"
"56","Hydraulic_limit","Cladophora","Adult","Velocity","F300","Low","LOB",0.39,"vel","m","Cladophora","Adult","F300","Q >= newx1a"
"57","Hydraulic_limit","Cladophora","Adult","Velocity","F300","Low","MC",0.34,"vel","m","Cladophora","Adult","F300","Q >= newx1a"
"58","Hydraulic_limit","Cladophora","Adult","Velocity","F300","Low","ROB",0.39,"vel","m","Cladophora","Adult","F300","Q >= newx1a"
"59","Hydraulic_limit","Cladophora","Adult","Velocity","F300","Medium","LOB",0.55,"vel","m","Cladophora","Adult","F300","Q >= newx2a"
"60","Hydraulic_limit","Cladophora","Adult","Velocity","F300","Medium","MC",0.55,"vel","m","Cladophora","Adult","F300","Q >= newx2a"
"61","Hydraulic_limit","Cladophora","Adult","Velocity","F300","Medium","ROB",0.55,"vel","m","Cladophora","Adult","F300","Q >= newx2a"
"62","Hydraulic_limit","Cladophora","Adult","Velocity","F300","High","LOB",0.7,"vel","m","Cladophora","Adult","F300","Q >= newx3a"
"63","Hydraulic_limit","Cladophora","Adult","Velocity","F300","High","MC",0.7,"vel","m","Cladophora","Adult","F300","Q >= newx3a"
"64","Hydraulic_limit","Cladophora","Adult","Velocity","F300","High","ROB",0.7,"vel","m","Cladophora","Adult","F300","Q >= newx3a"
"65","Q_limit","Cladophora","Adult","Depth","F319","Low","MC",36107.47,"depth","cm","Cladophora","Adult","F319","Q >= min_limit & Q <= newx1a"
"66","Q_limit","Cladophora","Adult","Depth","F319","Medium","MC",13447.84,"depth","cm","Cladophora","Adult","F319","Q >= min_limit & Q <= newx2a"
"67","Q_limit","Cladophora","Adult","Depth","F319","High","MC",2151.53,"depth","cm","Cladophora","Adult","F319","Q >= min_limit & Q <= newx3a"
"68","Hydraulic_limit","Cladophora","Adult","Depth","F319","Low","MC",318.18,"depth","cm","Cladophora","Adult","F319","Q >= min_limit & Q <= newx1a"
"69","Hydraulic_limit","Cladophora","Adult","Depth","F319","Medium","MC",186.73,"depth","cm","Cladophora","Adult","F319","Q >= min_limit & Q <= newx2a"
"70","Hydraulic_limit","Cladophora","Adult","Depth","F319","High","MC",80.6,"depth","cm","Cladophora","Adult","F319","Q >= min_limit & Q <= newx3a"
"71","Q_limit","Cladophora","Adult","Velocity","F319","Low","MC",122.73,"vel","m","Cladophora","Adult","F319","Q >= newx1a"
"72","Q_limit","Cladophora","Adult","Velocity","F319","Medium","MC",266.54,"vel","m","Cladophora","Adult","F319","Q >= newx2a"
"73","Q_limit","Cladophora","Adult","Velocity","F319","High","MC",486.27,"vel","m","Cladophora","Adult","F319","Q >= newx3a"
"74","Hydraulic_limit","Cladophora","Adult","Velocity","F319","Low","MC",0.39,"vel","m","Cladophora","Adult","F319","Q >= newx1a"
"75","Hydraulic_limit","Cladophora","Adult","Velocity","F319","Medium","MC",0.55,"vel","m","Cladophora","Adult","F319","Q >= newx2a"
"76","Hydraulic_limit","Cladophora","Adult","Velocity","F319","High","MC",0.7,"vel","m","Cladophora","Adult","F319","Q >= newx3a"
"77","Q_limit","Cladophora","Adult","Depth","F34D","Low","MC",59.74,"depth","cm","Cladophora","Adult","F34D","Q >= newx1a"
"78","Q_limit","Cladophora","Adult","Depth","F34D","Medium","MC",24022.99,"depth","cm","Cladophora","Adult","F34D","Q >= min_limit & Q <= newx2a"
"79","Q_limit","Cladophora","Adult","Depth","F34D","High","MC",4516.24,"depth","cm","Cladophora","Adult","F34D","Q >= min_limit & Q <= newx3a"
"80","Hydraulic_limit","Cladophora","Adult","Depth","F34D","Low","MC",26,"depth","cm","Cladophora","Adult","F34D","Q >= newx1a"
"81","Hydraulic_limit","Cladophora","Adult","Depth","F34D","Medium","MC",186.73,"depth","cm","Cladophora","Adult","F34D","Q >= min_limit & Q <= newx2a"
"82","Hydraulic_limit","Cladophora","Adult","Depth","F34D","High","MC",80.6,"depth","cm","Cladophora","Adult","F34D","Q >= min_limit & Q <= newx3a"
"83","Q_limit","Cladophora","Adult","Velocity","F34D","Low","MC",59.74,"vel","m","Cladophora","Adult","F34D","Q >= newx1a"
"84","Q_limit","Cladophora","Adult","Velocity","F34D","Medium","MC",80.01,"vel","m","Cladophora","Adult","F34D","Q >= newx2a[1] & Q <= newx2a[2]"
"85","Q_limit","Cladophora","Adult","Velocity","F34D","Medium","MC",138.17,"vel","m","Cladophora","Adult","F34D","Q >= newx2a[1] & Q <= newx2a[2]"
"86","Q_limit","Cladophora","Adult","Velocity","F34D","High","MC",79.97,"vel","m","Cladophora","Adult","F34D","Q >= newx3a[1] & Q <= newx3a[2]"
"87","Q_limit","Cladophora","Adult","Velocity","F34D","High","MC",234.77,"vel","m","Cladophora","Adult","F34D","Q >= newx3a[1] & Q <= newx3a[2]"
"88","Hydraulic_limit","Cladophora","Adult","Velocity","F34D","Low","MC",0.42,"vel","m","Cladophora","Adult","F34D","Q >= newx1a"
"89","Hydraulic_limit","Cladophora","Adult","Velocity","F34D","Medium","MC",0.55,"vel","m","Cladophora","Adult","F34D","Q >= newx2a[1] & Q <= newx2a[2]"
"90","Hydraulic_limit","Cladophora","Adult","Velocity","F34D","High","MC",0.7,"vel","m","Cladophora","Adult","F34D","Q >= newx3a[1] & Q <= newx3a[2]"
"91","Q_limit","Cladophora","Adult","Velocity","F37B","Low","LOB",2754.94,"vel","m","Cladophora","Adult","F37B","Q >= newx1a"
"92","Q_limit","Cladophora","Adult","Velocity","F37B","Low","MC",7.8,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"93","Q_limit","Cladophora","Adult","Velocity","F37B","Low","ROB",27.34,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"94","Q_limit","Cladophora","Adult","Velocity","F37B","Low","MC",1930.22,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"95","Q_limit","Cladophora","Adult","Velocity","F37B","Low","ROB",2956.08,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"96","Q_limit","Cladophora","Adult","Velocity","F37B","Medium","MC",10.72,"vel","m","Cladophora","Adult","F37B","Q >= newx2a[1] & Q <= newx2a[2]"
"97","Q_limit","Cladophora","Adult","Velocity","F37B","Medium","ROB",45.95,"vel","m","Cladophora","Adult","F37B","Q >= newx2a[1] & Q <= newx2a[2]"
"98","Q_limit","Cladophora","Adult","Velocity","F37B","Medium","MC",3088.55,"vel","m","Cladophora","Adult","F37B","Q >= newx2a[1] & Q <= newx2a[2]"
"99","Q_limit","Cladophora","Adult","Velocity","F37B","Medium","ROB",211.78,"vel","m","Cladophora","Adult","F37B","Q >= newx2a[1] & Q <= newx2a[2]"
"100","Q_limit","Cladophora","Adult","Velocity","F37B","High","MC",23.32,"vel","m","Cladophora","Adult","F37B","Q >= newx3a[1] & Q <= newx3a[2]"
"101","Q_limit","Cladophora","Adult","Velocity","F37B","High","ROB",71.93,"vel","m","Cladophora","Adult","F37B","Q >= newx3a[1] & Q <= newx3a[2]"
"102","Q_limit","Cladophora","Adult","Velocity","F37B","High","MC",139.22,"vel","m","Cladophora","Adult","F37B","Q >= newx3a[1] & Q <= newx3a[2]"
"103","Q_limit","Cladophora","Adult","Velocity","F37B","High","ROB",184.21,"vel","m","Cladophora","Adult","F37B","Q >= newx3a[1] & Q <= newx3a[2]"
"104","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Low","LOB",0.39,"vel","m","Cladophora","Adult","F37B","Q >= newx1a"
"105","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Low","MC",0.39,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"106","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Low","ROB",0.39,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"107","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Low","MC",0.39,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"108","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Low","ROB",0.39,"vel","m","Cladophora","Adult","F37B","Q >= newx1a[1] & Q <= newx1a[2]"
"109","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Medium","MC",0.55,"vel","m","Cladophora","Adult","F37B","Q >= newx2a[1] & Q <= newx2a[2]"
"110","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Medium","ROB",0.55,"vel","m","Cladophora","Adult","F37B","Q >= newx2a[1] & Q <= newx2a[2]"
"111","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","Medium","MC",0.55,"vel","m","Cladophora","Adult","F37B","Q >= newx2a[1] & Q <= newx2a[2]"
"112","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","High","MC",0.7,"vel","m","Cladophora","Adult","F37B","Q >= newx3a[1] & Q <= newx3a[2]"
"113","Hydraulic_limit","Cladophora","Adult","Velocity","F37B","High","ROB",0.7,"vel","m","Cladophora","Adult","F37B","Q >= newx3a[1] & Q <= newx3a[2]"
"114","Q_limit","Cladophora","Adult","Depth","F37BHigh","Low","MC",0.84,"depth","cm","Cladophora","Adult","F37BHigh","Q >= newx1a"
"115","Q_limit","Cladophora","Adult","Depth","F37BHigh","Medium","MC",2899.84,"depth","cm","Cladophora","Adult","F37BHigh","Q >= min_limit & Q <= newx2a"
"116","Q_limit","Cladophora","Adult","Depth","F37BHigh","High","MC",564.34,"depth","cm","Cladophora","Adult","F37BHigh","Q >= min_limit & Q <= newx3a"
"117","Hydraulic_limit","Cladophora","Adult","Depth","F37BHigh","Low","MC",0,"depth","cm","Cladophora","Adult","F37BHigh","Q >= newx1a"
"118","Hydraulic_limit","Cladophora","Adult","Depth","F37BHigh","Medium","MC",186.88,"depth","cm","Cladophora","Adult","F37BHigh","Q >= min_limit & Q <= newx2a"
"119","Hydraulic_limit","Cladophora","Adult","Depth","F37BHigh","High","MC",80.6,"depth","cm","Cladophora","Adult","F37BHigh","Q >= min_limit & Q <= newx3a"
"120","Q_limit","Cladophora","Adult","Velocity","F37BHigh","Low","MC",200.03,"vel","m","Cladophora","Adult","F37BHigh","Q >= newx1a"
"121","Q_limit","Cladophora","Adult","Velocity","F37BHigh","Medium","MC",407.18,"vel","m","Cladophora","Adult","F37BHigh","Q >= newx2a"
"122","Q_limit","Cladophora","Adult","Velocity","F37BHigh","High","MC",701.49,"vel","m","Cladophora","Adult","F37BHigh","Q >= newx3a"
"123","Hydraulic_limit","Cladophora","Adult","Velocity","F37BHigh","Low","MC",0.39,"vel","m","Cladophora","Adult","F37BHigh","Q >= newx1a"
"124","Hydraulic_limit","Cladophora","Adult","Velocity","F37BHigh","Medium","MC",0.55,"vel","m","Cladophora","Adult","F37BHigh","Q >= newx2a"
"125","Hydraulic_limit","Cladophora","Adult","Velocity","F37BHigh","High","MC",0.7,"vel","m","Cladophora","Adult","F37BHigh","Q >= newx3a"
"126","Q_limit","Cladophora","Adult","Depth","F37BLow","Low","LOB",713.43,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx1a"
"127","Q_limit","Cladophora","Adult","Depth","F37BLow","Low","MC",567.04,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx1a"
"128","Q_limit","Cladophora","Adult","Depth","F37BLow","Low","ROB",469.64,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx1a"
"129","Q_limit","Cladophora","Adult","Depth","F37BLow","Medium","LOB",277.99,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx2a"
"130","Q_limit","Cladophora","Adult","Depth","F37BLow","Medium","MC",261.1,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx2a"
"131","Q_limit","Cladophora","Adult","Depth","F37BLow","Medium","ROB",246.62,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"132","Q_limit","Cladophora","Adult","Depth","F37BLow","Medium","ROB",304.29,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"133","Q_limit","Cladophora","Adult","Depth","F37BLow","High","LOB",211.27,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx3a"
"134","Q_limit","Cladophora","Adult","Depth","F37BLow","High","MC",184.47,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx3a"
"135","Q_limit","Cladophora","Adult","Depth","F37BLow","High","ROB",157.77,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"136","Q_limit","Cladophora","Adult","Depth","F37BLow","High","ROB",300.55,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"137","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","Low","LOB",318.17,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx1a"
"138","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","Low","MC",318.17,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx1a"
"139","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","Low","ROB",318.17,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx1a"
"140","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","Medium","LOB",186.73,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx2a"
"141","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","Medium","MC",186.73,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx2a"
"142","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","Medium","ROB",186.73,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"143","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","Medium","ROB",186.73,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"144","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","High","LOB",80.6,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx3a"
"145","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","High","MC",80.6,"depth","cm","Cladophora","Adult","F37BLow","Q >= min_limit & Q <= newx3a"
"146","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","High","ROB",80.6,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"147","Hydraulic_limit","Cladophora","Adult","Depth","F37BLow","High","ROB",80.6,"depth","cm","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"148","Q_limit","Cladophora","Adult","Velocity","F37BLow","Low","LOB",2754.94,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a"
"149","Q_limit","Cladophora","Adult","Velocity","F37BLow","Low","MC",7.8,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"150","Q_limit","Cladophora","Adult","Velocity","F37BLow","Low","ROB",27.34,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"151","Q_limit","Cladophora","Adult","Velocity","F37BLow","Low","MC",1930.22,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"152","Q_limit","Cladophora","Adult","Velocity","F37BLow","Low","ROB",2956.08,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"153","Q_limit","Cladophora","Adult","Velocity","F37BLow","Medium","MC",10.72,"vel","m","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"154","Q_limit","Cladophora","Adult","Velocity","F37BLow","Medium","ROB",45.95,"vel","m","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"155","Q_limit","Cladophora","Adult","Velocity","F37BLow","Medium","MC",3088.55,"vel","m","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"156","Q_limit","Cladophora","Adult","Velocity","F37BLow","Medium","ROB",211.78,"vel","m","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"157","Q_limit","Cladophora","Adult","Velocity","F37BLow","High","MC",23.32,"vel","m","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"158","Q_limit","Cladophora","Adult","Velocity","F37BLow","High","ROB",71.93,"vel","m","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"159","Q_limit","Cladophora","Adult","Velocity","F37BLow","High","MC",139.22,"vel","m","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"160","Q_limit","Cladophora","Adult","Velocity","F37BLow","High","ROB",184.21,"vel","m","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"161","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Low","LOB",0.39,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a"
"162","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Low","MC",0.39,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"163","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Low","ROB",0.39,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"164","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Low","MC",0.39,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"165","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Low","ROB",0.39,"vel","m","Cladophora","Adult","F37BLow","Q >= newx1a[1] & Q <= newx1a[2]"
"166","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Medium","MC",0.55,"vel","m","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"167","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Medium","ROB",0.55,"vel","m","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"168","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","Medium","MC",0.55,"vel","m","Cladophora","Adult","F37BLow","Q >= newx2a[1] & Q <= newx2a[2]"
"169","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","High","MC",0.7,"vel","m","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"170","Hydraulic_limit","Cladophora","Adult","Velocity","F37BLow","High","ROB",0.7,"vel","m","Cladophora","Adult","F37BLow","Q >= newx3a[1] & Q <= newx3a[2]"
"171","Q_limit","Cladophora","Adult","Depth","F45B","Low","MC",10789.02,"depth","cm","Cladophora","Adult","F45B","Q >= min_limit & Q <= newx1a"
"172","Q_limit","Cladophora","Adult","Depth","F45B","Medium","MC",3268.49,"depth","cm","Cladophora","Adult","F45B","Q >= min_limit & Q <= newx2a"
"173","Q_limit","Cladophora","Adult","Depth","F45B","High","MC",997.21,"depth","cm","Cladophora","Adult","F45B","Q >= min_limit & Q <= newx3a"
